name,artist,song,danceability,energy,liveness,valence
default,--,--,0.0,0.0,0.0,0.0
Waterloo,Abba,Waterloo,-0.610773,1.34764,0.533602,1.24616
DancingQueen,Abba,Dancing Queen,0.520683,0.233578,0.103909,0.241891
CountryRoads,John Denver,Country Roads,-1.612884,-0.535034,0.22544,0.350232
Surprise,Rick Astley,Never Gonna Give You Up,0.930107,1.396981,-0.077223,1.77295
ViolinDubstep,Lindsey Stirling,Crystallize,-0.616161,0.197537,-0.605528,-1.532756
Pop,Jennifer Lopez,On The Floor,0.924719,0.789668,-0.674248,0.388683
Starman,David Bowie,Starman - 2012 Remastered Version,-0.2894412575913503,-0.3884666175588905,1.595408896286666,0.3669092173684101
DnB,The Prodigy,Voodoo People (Pendulum Mix),-0.5205648647695157,1.4604028229503192,0.2272191020296537,0.3034352398619
Tycho,Tycho,Awake,0.0572441531758981,1.163133618790015,-1.0500976039268732,0.5461298597397324
MontyPython,Monty Python,Always Look On The Bright Side Of Life,0.6718228358996562,-0.0803217108073554,0.320346320647001,1.0725904967054922
Arty,ARTY,Save Me Tonight,0.0467385346677997,1.2392635369286296,-0.2377188435774459,-0.1632851829800857
Alternative,Linkin Park,In the End,0.004716060635405967,1.0725027638630928,-0.5556049818861681,-0.3051681915240493
